~from,~to,~label,since:Date
U0001,A000101,OWNS,2022-12-30T13:54:15Z
U0002,A000201,OWNS,2023-05-12T13:54:15Z
U0002,A000202,OWNS,2024-11-23T13:54:15Z
U0003,A000301,OWNS,2025-04-24T13:54:15Z
U0003,A000302,OWNS,2024-02-05T13:54:15Z
U0004,A000401,OWNS,2024-12-10T13:54:15Z
U0004,A000402,OWNS,2025-07-18T13:54:15Z
U0004,A000403,OWNS,2024-07-04T13:54:15Z
U0005,A000501,OWNS,2023-12-18T13:54:15Z
U0005,A000502,OWNS,2023-12-19T13:54:15Z
U0006,A000601,OWNS,2024-03-02T13:54:15Z
U0006,A000602,OWNS,2025-07-23T13:54:15Z
U0007,A000701,OWNS,2025-07-05T13:54:15Z
U0008,A000801,OWNS,2024-08-18T13:54:15Z
U0008,A000802,OWNS,2024-12-13T13:54:15Z
U0009,A000901,OWNS,2023-10-13T13:54:15Z
U0009,A000902,OWNS,2023-10-16T13:54:15Z
U0010,A001001,OWNS,2024-09-03T13:54:15Z
U0010,A001002,OWNS,2025-07-11T13:54:15Z
U0010,A001003,OWNS,2023-06-24T13:54:15Z
U0011,A001101,OWNS,2023-07-29T13:54:15Z
U0011,A001102,OWNS,2025-07-01T13:54:15Z
U0012,A001201,OWNS,2023-08-14T13:54:15Z
U0012,A001202,OWNS,2025-03-02T13:54:15Z
U0013,A001301,OWNS,2025-01-11T13:54:15Z
U0013,A001302,OWNS,2023-06-14T13:54:15Z
U0014,A001401,OWNS,2024-07-04T13:54:15Z
U0014,A001402,OWNS,2025-01-13T13:54:15Z
U0014,A001403,OWNS,2024-06-08T13:54:15Z
U0015,A001501,OWNS,2023-10-07T13:54:15Z
U0015,A001502,OWNS,2025-08-11T13:54:15Z
U0015,A001503,OWNS,2025-04-13T13:54:15Z
U0016,A001601,OWNS,2025-03-25T13:54:15Z
U0017,A001701,OWNS,2023-03-10T13:54:15Z
U0017,A001702,OWNS,2024-12-09T13:54:15Z
U0018,A001801,OWNS,2025-06-30T13:54:15Z
U0018,A001802,OWNS,2025-07-28T13:54:15Z
U0018,A001803,OWNS,2023-01-26T13:54:15Z
U0018,A001804,OWNS,2024-01-13T13:54:15Z
U0019,A001901,OWNS,2023-06-16T13:54:15Z
U0020,A002001,OWNS,2023-06-20T13:54:15Z
U0020,A002002,OWNS,2025-06-10T13:54:15Z
U0020,A002003,OWNS,2024-05-16T13:54:15Z
U0021,A002101,OWNS,2025-08-06T13:54:15Z
U0021,A002102,OWNS,2024-02-11T13:54:15Z
U0022,A002201,OWNS,2023-04-21T13:54:15Z
U0022,A002202,OWNS,2025-02-26T13:54:15Z
U0023,A002301,OWNS,2025-01-12T13:54:15Z
U0024,A002401,OWNS,2025-03-25T13:54:15Z
U0024,A002402,OWNS,2024-10-26T13:54:15Z
U0024,A002403,OWNS,2024-02-20T13:54:15Z
U0025,A002501,OWNS,2024-07-14T13:54:15Z
U0025,A002502,OWNS,2024-06-06T13:54:15Z
U0025,A002503,OWNS,2025-03-28T13:54:15Z
U0025,A002504,OWNS,2024-02-18T13:54:15Z
U0026,A002601,OWNS,2024-01-23T13:54:15Z
U0026,A002602,OWNS,2023-12-20T13:54:15Z
U0027,A002701,OWNS,2024-06-22T13:54:15Z
U0027,A002702,OWNS,2023-09-12T13:54:15Z
U0028,A002801,OWNS,2023-05-17T13:54:15Z
U0028,A002802,OWNS,2023-03-30T13:54:15Z
U0028,A002803,OWNS,2023-06-16T13:54:15Z
U0029,A002901,OWNS,2024-09-30T13:54:15Z
U0030,A003001,OWNS,2024-09-26T13:54:15Z
U0030,A003002,OWNS,2023-05-27T13:54:15Z
U0031,A003101,OWNS,2024-09-15T13:54:15Z
U0031,A003102,OWNS,2023-02-21T13:54:15Z
U0031,A003103,OWNS,2025-08-05T13:54:15Z
U0032,A003201,OWNS,2024-05-03T13:54:15Z
U0033,A003301,OWNS,2023-08-15T13:54:15Z
U0033,A003302,OWNS,2023-11-01T13:54:15Z
U0034,A003401,OWNS,2024-07-14T13:54:15Z
U0034,A003402,OWNS,2025-04-26T13:54:15Z
U0034,A003403,OWNS,2025-08-17T13:54:15Z
U0035,A003501,OWNS,2023-02-23T13:54:15Z
U0035,A003502,OWNS,2023-07-05T13:54:15Z
U0036,A003601,OWNS,2025-02-21T13:54:15Z
U0036,A003602,OWNS,2025-01-18T13:54:15Z
U0037,A003701,OWNS,2025-04-29T13:54:15Z
