~from,~to,~label,since:Date
U0000001,A000000101,OWNS,2023-09-29T22:16:49Z
U0000001,A000000102,OWNS,2023-11-01T22:16:49Z
U0000002,A000000201,OWNS,2023-01-11T22:16:49Z
U0000002,A000000202,OWNS,2023-02-26T22:16:49Z
U0000002,A000000203,OWNS,2024-12-13T22:16:49Z
U0000002,A000000204,OWNS,2023-04-21T22:16:49Z
U0000003,A000000301,OWNS,2023-12-24T22:16:49Z
U0000003,A000000302,OWNS,2024-05-03T22:16:49Z
U0000004,A000000401,OWNS,2023-11-02T22:16:49Z
U0000004,A000000402,OWNS,2025-04-10T22:16:49Z
U0000005,A000000501,OWNS,2025-05-27T22:16:49Z
U0000005,A000000502,OWNS,2023-05-18T22:16:49Z
U0000006,A000000601,OWNS,2025-05-23T22:16:49Z
U0000007,A000000701,OWNS,2023-02-06T22:16:49Z
U0000007,A000000702,OWNS,2023-08-23T22:16:49Z
U0000008,A000000801,OWNS,2023-04-30T22:16:49Z
U0000008,A000000802,OWNS,2025-02-16T22:16:49Z
U0000008,A000000803,OWNS,2023-02-09T22:16:49Z
U0000009,A000000901,OWNS,2023-02-04T22:16:49Z
U0000010,A000001001,OWNS,2025-03-02T22:16:49Z
U0000011,A000001101,OWNS,2024-07-11T22:16:49Z
U0000011,A000001102,OWNS,2023-03-20T22:16:49Z
U0000012,A000001201,OWNS,2025-08-15T22:16:49Z
U0000012,A000001202,OWNS,2024-04-29T22:16:49Z
U0000012,A000001203,OWNS,2023-01-13T22:16:49Z
U0000012,A000001204,OWNS,2025-02-06T22:16:49Z
U0000013,A000001301,OWNS,2023-07-28T22:16:49Z
U0000014,A000001401,OWNS,2022-12-31T22:16:49Z
U0000014,A000001402,OWNS,2023-01-03T22:16:49Z
U0000015,A000001501,OWNS,2024-12-27T22:16:49Z
U0000015,A000001502,OWNS,2024-09-09T22:16:49Z
U0000016,A000001601,OWNS,2024-04-29T22:16:49Z
U0000016,A000001602,OWNS,2023-05-02T22:16:49Z
U0000016,A000001603,OWNS,2024-12-14T22:16:49Z
U0000017,A000001701,OWNS,2023-07-27T22:16:49Z
U0000017,A000001702,OWNS,2023-08-18T22:16:49Z
U0000018,A000001801,OWNS,2024-04-29T22:16:49Z
U0000018,A000001802,OWNS,2024-06-16T22:16:49Z
U0000019,A000001901,OWNS,2023-11-17T22:16:49Z
U0000019,A000001902,OWNS,2024-01-31T22:16:49Z
U0000020,A000002001,OWNS,2023-04-05T22:16:49Z
U0000020,A000002002,OWNS,2023-06-19T22:16:49Z
U0000020,A000002003,OWNS,2025-03-22T22:16:49Z
U0000020,A000002004,OWNS,2025-01-17T22:16:49Z
U0000021,A000002101,OWNS,2023-03-06T22:16:49Z
U0000022,A000002201,OWNS,2023-11-09T22:16:49Z
U0000022,A000002202,OWNS,2025-04-04T22:16:49Z
U0000023,A000002301,OWNS,2023-06-28T22:16:49Z
U0000023,A000002302,OWNS,2025-03-29T22:16:49Z
U0000023,A000002303,OWNS,2023-05-20T22:16:49Z
U0000023,A000002304,OWNS,2024-12-14T22:16:49Z
U0000024,A000002401,OWNS,2025-02-22T22:16:49Z
U0000025,A000002501,OWNS,2024-01-30T22:16:49Z
U0000026,A000002601,OWNS,2025-05-13T22:16:49Z
U0000026,A000002602,OWNS,2023-10-17T22:16:49Z
