~id,~label,type:String,balance:Double,bank_name:String,status:String,created_date:Date,fraud_flag:Boolean
A000000101,account,checking,35123.22,Axis Bank,active,2023-09-29T22:16:49Z,False
A000000102,account,savings,151257.11,Punjab National Bank,active,2023-11-01T22:16:49Z,False
A000000201,account,credit,-16548.9,Canara Bank,active,2023-01-11T22:16:49Z,True
A000000202,account,credit,-46247.59,Punjab National Bank,active,2023-02-26T22:16:49Z,False
A000000203,account,savings,228918.87,Central Bank of India,active,2024-12-13T22:16:49Z,False
A000000204,account,savings,406776.03,HDFC Bank,active,2023-04-21T22:16:49Z,False
A000000301,account,credit,-16080.34,Union Bank of India,active,2023-12-24T22:16:49Z,False
A000000302,account,checking,30606.79,Canara Bank,active,2024-05-03T22:16:49Z,False
A000000401,account,credit,-19088.05,Federal Bank,active,2023-11-02T22:16:49Z,False
A000000402,account,checking,17352.9,Kotak Mahindra Bank,active,2025-04-10T22:16:49Z,False
A000000501,account,checking,37287.42,State Bank of India,active,2025-05-27T22:16:49Z,False
A000000502,account,savings,279008.37,State Bank of India,active,2023-05-18T22:16:49Z,True
A000000601,account,savings,246718.65,Federal Bank,active,2025-05-23T22:16:49Z,False
A000000701,account,checking,41956.92,Syndicate Bank,active,2023-02-06T22:16:49Z,False
A000000702,account,savings,346217.04,Union Bank of India,active,2023-08-23T22:16:49Z,False
A000000801,account,savings,206959.99,Central Bank of India,active,2023-04-30T22:16:49Z,False
A000000802,account,checking,35622.53,Axis Bank,active,2025-02-16T22:16:49Z,False
A000000803,account,credit,-35471.03,Yes Bank,active,2023-02-09T22:16:49Z,False
A000000901,account,credit,-35618.07,HDFC Bank,active,2023-02-04T22:16:49Z,False
A000001001,account,savings,491743.21,ICICI Bank,active,2025-03-02T22:16:49Z,False
A000001101,account,savings,260782.54,Union Bank of India,active,2024-07-11T22:16:49Z,False
A000001102,account,checking,4688.08,Bank of Baroda,active,2023-03-20T22:16:49Z,False
