~id,~label,type:String,os:String,browser:String,fingerprint:String,first_seen:Date,last_login:Date,login_count:Int,fraud_flag:Boolean
DEV0541,device,mobile,Android 13,Safari Mobile,399354690df13027a3fe67a0d81b9689cb4e6202f4faef6f6da7f33fe0b451c0,2024-07-09T15:22:44Z,2025-08-02T20:22:44Z,162,False
DEV0044,device,tablet,Android 12,Safari,c0838ccb7e3ba73d6cf2c6c992844b8df60275f9195273a3fb842025b333410d,2025-02-08T15:22:44Z,2025-08-15T11:22:44Z,82,True
DEV0628,device,tablet,Android 12,Firefox,31b532d133caedf0ce3e6eb722c5c9047ccfdc364e0b8b2bd059cc9db768c858,2025-04-21T15:22:44Z,2025-08-01T08:22:44Z,151,False
DEV0658,device,mobile,Android 12,Safari Mobile,48841bf65ad8f3844ebda75530cdddc9df25ee42ab01d19caf406fcdaf477602,2024-12-17T15:22:44Z,2025-08-06T05:22:44Z,163,False
DEV0237,device,mobile,iOS 16,Chrome Mobile,fff2e0eec16e2239ca3194eb2a41a41bb0d9844dcd4b0a94d76300cfdad9102e,2025-05-30T15:22:44Z,2025-07-29T00:22:44Z,152,False
DEV0218,device,mobile,iOS 15,Firefox Mobile,ebb869537831bac681af914d99d4d768959bc1d6937984e9840e1099f4e3c14a,2024-08-13T15:22:44Z,2025-08-08T03:22:44Z,76,False
DEV0711,device,mobile,Android 13,Firefox Mobile,048019187ddea1e6ae0aa700da14d4eec6892bdaf8f74c50eeb61dd2a2507ad8,2025-02-06T15:22:44Z,2025-08-06T04:22:44Z,34,False
DEV0708,device,desktop,Windows 10,Safari,68d1f3f912743e4f1c9ccc3400b3606abc1c393955b4e538313c832d72fd96da,2025-05-06T15:22:44Z,2025-07-29T06:22:44Z,66,False
DEV0526,device,mobile,iOS 15,Firefox Mobile,b2b64050c822a8edb80da30da3922faf6cd9e64b87db942caa259ca578290258,2025-02-09T15:22:44Z,2025-08-13T17:22:44Z,113,False
DEV0151,device,tablet,Android 11,Safari,c76b4e5ef143d5101ad69614bfc03959eb439a19e4204a52f2001a590561963d,2024-11-06T15:22:44Z,2025-08-16T01:22:44Z,158,False
DEV0456,device,desktop,macOS Ventura,Firefox,63a1433367e8e92ec7545b23f7c8290a2f04af8b05caee3b37de3baaf0701325,2024-04-19T15:22:44Z,2025-08-15T07:22:44Z,61,False
DEV0116,device,tablet,Android 12,Chrome,42378b182b047f5e843072aa4141a3b1eff586c0285523cf355b223a0d73c04b,2025-05-29T15:22:44Z,2025-08-01T22:22:44Z,153,False
DEV0011,device,desktop,Windows 11,Chrome,8595c3241b3338d768cd51ca5938586f0beb203db69109d0485db3c748d43083,2025-02-05T15:22:44Z,2025-08-11T01:22:44Z,100,False
DEV0049,device,tablet,Android 11,Safari,af7f3e6b8210c05ab74715645457679c14691c7b691cc5fd8f50ef5f51863cfe,2024-04-05T15:22:44Z,2025-07-31T12:22:44Z,94,False
DEV0078,device,mobile,iOS 16,Safari Mobile,abb346954e29a8141c8cb94eddfb8190b61b3051dfa0b4ec95d5e29d93e182d8,2024-04-10T15:22:44Z,2025-08-03T20:22:44Z,49,False
DEV0648,device,desktop,Ubuntu 22.04,Safari,46298dc2d50c4ac641dd14bcf31c8ce37b8c60b425a855920ccd6e00c7e2bdef,2025-07-05T15:22:44Z,2025-07-27T06:22:44Z,162,False
DEV0419,device,desktop,Windows 11,Edge,1e67b2c6e090fe0ad66a08a10d1f6e43b1d00b60a694c82e9495eac24fab9fe6,2024-06-12T15:22:44Z,2025-07-28T11:22:44Z,85,False
DEV0187,device,tablet,iPadOS 16,Safari,7990a4528ac1d1f3013f2870dac442311f6178bdf8f3ae7be5db985cc594d414,2024-04-12T15:22:44Z,2025-07-29T02:22:44Z,47,False
DEV0184,device,mobile,iOS 15,Chrome Mobile,a5d034d07c5bc0ebdc3a0bcda8a30069a80110bd151fc84b5f4eff61bedc7a50,2024-11-03T15:22:44Z,2025-08-14T21:22:44Z,34,False
DEV0488,device,tablet,Android 11,Safari,007cc25517fc5582e51b137fc3fc0b88063d1f310102d0b175e13ead501eaa1e,2025-06-23T15:22:44Z,2025-08-01T04:22:44Z,143,False
DEV0217,device,mobile,Android 11,Safari Mobile,8ec2b23f01cc2483bd05fe683d50bf0cd76c34814ded1f3c1d270ed512a2943f,2025-05-12T15:22:44Z,2025-08-06T09:22:44Z,114,False
DEV0571,device,desktop,Ubuntu 22.04,Opera,a959bb62fcf89d045d5132db6f9f16b73e2a00a59cf7f2f925c6ce62cc3ba25a,2025-06-25T15:22:44Z,2025-08-03T07:22:44Z,87,False
DEV0472,device,tablet,Android 11,Chrome,8a15c1d0a0f4d206f77eb9274bf3af7f135652d64c43e6f21ab67ee2a53e9d4f,2024-11-08T15:22:44Z,2025-08-11T17:22:44Z,38,False
DEV0489,device,desktop,Ubuntu 22.04,Opera,4f2c10371e9a50f59ea3c9ed19037d10b2a1f49c40a6d0e8a04f1d41454a9037,2025-08-10T15:22:44Z,2025-08-09T10:22:44Z,75,False
DEV0001,device,tablet,iPadOS 16,Safari,93446f17ed6457b1cbbee6e7fdb203dc137bcc0f1ac76a00d0eaa5fd091c2c29,2024-08-04T15:22:44Z,2025-08-07T07:22:44Z,26,False
